SampID	Sample.ID	Bird.ID	MG.Diet	MG.Status	Diet	Day	MG.Diet.Day	MG.Day	Diet.Day	MG.active	Exposure.MG	Exposure.Diet	Exposure.Diet.Day
ES100_SEM19-140_Control-lipid_0	ES100	SEM19-140	Control-lipid	Control	lipid	0	Control-lipid.0	Control.0	lipid.0	NO	NO.Control	NO.lipid	NO.lipid.0
ES101_SEM19-140_Control-lipid_14	ES101	SEM19-140	Control-lipid	Control	lipid	14	Control-lipid.14	Control.14	lipid.14	NO	NO.Control	NO.lipid	NO.lipid.14
ES102_SEM19-140_Control-lipid_21	ES102	SEM19-140	Control-lipid	Control	lipid	21	Control-lipid.21	Control.21	lipid.21	NO	NO.Control	NO.lipid	NO.lipid.21
ES103_625_Control-lipid_0	ES103	625	Control-lipid	Control	lipid	0	Control-lipid.0	Control.0	lipid.0	NO	NO.Control	NO.lipid	NO.lipid.0
ES104_625_Control-lipid_14	ES104	625	Control-lipid	Control	lipid	14	Control-lipid.14	Control.14	lipid.14	NO	NO.Control	NO.lipid	NO.lipid.14
ES105_625_Control-lipid_21	ES105	625	Control-lipid	Control	lipid	21	Control-lipid.21	Control.21	lipid.21	NO	NO.Control	NO.lipid	NO.lipid.21
ES10_172_Control-protein_14	ES10	172	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES11_172_Control-protein_21	ES11	172	Control-protein	Control	protein	21	Control-protein.21	Control.21	protein.21	NO	NO.Control	NO.protein	NO.protein.21
ES12_209_MG-lipid_0	ES12	209	MG-lipid	MG	lipid	0	MG-lipid.0	MG.0	lipid.0	NO	NO.MG	NO.lipid	NO.lipid.0
ES13_209_MG-lipid_14	ES13	209	MG-lipid	MG	lipid	14	MG-lipid.14	MG.14	lipid.14	YES	YES.MG	YES.lipid	YES.lipid.14
ES14_209_MG-lipid_21	ES14	209	MG-lipid	MG	lipid	21	MG-lipid.21	MG.21	lipid.21	YES	YES.MG	YES.lipid	YES.lipid.21
ES15_601_Control-protein_14	ES15	601	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES16_601_Control-protein_21	ES16	601	Control-protein	Control	protein	21	Control-protein.21	Control.21	protein.21	NO	NO.Control	NO.protein	NO.protein.21
ES17_615_Control-protein_0	ES17	615	Control-protein	Control	protein	0	Control-protein.0	Control.0	protein.0	NO	NO.Control	NO.protein	NO.protein.0
ES18_615_Control-protein_14	ES18	615	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES19_615_Control-protein_21	ES19	615	Control-protein	Control	protein	21	Control-protein.21	Control.21	protein.21	NO	NO.Control	NO.protein	NO.protein.21
ES1_48_Control-lipid_0	ES1	48	Control-lipid	Control	lipid	0	Control-lipid.0	Control.0	lipid.0	NO	NO.Control	NO.lipid	NO.lipid.0
ES20_618_Control-lipid_0	ES20	618	Control-lipid	Control	lipid	0	Control-lipid.0	Control.0	lipid.0	NO	NO.Control	NO.lipid	NO.lipid.0
ES21_618_Control-lipid_14	ES21	618	Control-lipid	Control	lipid	14	Control-lipid.14	Control.14	lipid.14	NO	NO.Control	NO.lipid	NO.lipid.14
ES22_618_Control-lipid_21	ES22	618	Control-lipid	Control	lipid	21	Control-lipid.21	Control.21	lipid.21	NO	NO.Control	NO.lipid	NO.lipid.21
ES23_Blue-010_Control-lipid_0	ES23	Blue-010	Control-lipid	Control	lipid	0	Control-lipid.0	Control.0	lipid.0	NO	NO.Control	NO.lipid	NO.lipid.0
ES24_Blue-010_Control-lipid_21	ES24	Blue-010	Control-lipid	Control	lipid	21	Control-lipid.21	Control.21	lipid.21	NO	NO.Control	NO.lipid	NO.lipid.21
ES25_619_MG-lipid_0	ES25	619	MG-lipid	MG	lipid	0	MG-lipid.0	MG.0	lipid.0	NO	NO.MG	NO.lipid	NO.lipid.0
ES26_619_MG-lipid_14	ES26	619	MG-lipid	MG	lipid	14	MG-lipid.14	MG.14	lipid.14	YES	YES.MG	YES.lipid	YES.lipid.14
